Postcode District,Cars
AB1,50
AB10,8209
AB11,6467
AB12,15294
AB13,1882
AB14,2610
AB15,20177
AB16,10586
AB2,37
AB21,13442
AB22,8710
AB23,6846
AB24,9395
AB25,4972
AB3,7
AB30,4468
AB31,9428
AB32,8243
AB33,3438
AB34,3300
AB35,1325
AB36,347
AB37,740
AB38,2567
AB39,9904
AB41,12525
AB42,17796
AB43,11602
AB44,1934
AB45,5694
AB51,21154
AB52,3100
AB53,6942
AB54,6004
AB55,4792
AB56,7321
AB9,c
AL1,17630
AL10,13751
AL2,14119
AL3,15909
AL4,16161
AL5,17414
AL6,8275
AL7,17401
AL8,6933
AL9,7425
B1,1897
B10,6635
B11,11910
B12,5185
B13,15411
B14,17551
B15,5762
B16,6555
B17,10581
B18,4447
B19,5230
B2,69
B20,12213
B21,7868
B23,16795
B24,12237
B25,6137
B26,23000
B27,9511
B28,14718
B29,11797
B3,698
B30,12416
B31,23703
B32,15527
B33,13308
B34,8216
B35,3427
B36,15861
B37,18425
B38,8676
B4,286
B40,c
B42,11080
B43,15251
B44,14802
B45,15743
B46,7867
B47,6246
B48,3711
B49,6838
B5,2960
B50,4129
B6,6315
B60,17263
B61,14790
B62,13846
B63,19047
B64,7908
B65,10903
B66,7137
B67,10926
B68,14135
B69,13079
B7,2431
B70,10811
B71,13046
B72,5261
B73,14030
B74,19798
B75,14800
B76,12709
B77,28791
B78,14734
B79,12422
B8,11338
B80,4326
B9,6736
B90,27465
B91,19295
B92,25324
B93,40070
B94,5570
B95,4479
B96,3658
B97,18315
B98,25820
BA1,17496
BA10,2130
BA11,18889
BA12,17163
BA13,12270
BA14,28613
BA15,7885
BA16,6937
BA2,36249
BA20,6590
BA21,18028
BA22,11811
BA3,21560
BA4,11329
BA5,11003
BA6,7966
BA7,2275
BA8,2770
BA9,5112
BB1,27360
BB10,16219
BB11,9410
BB12,16925
BB18,8608
BB2,25233
BB3,15617
BB4,21423
BB5,26870
BB6,7532
BB7,19298
BB8,11083
BB9,18180
BD1,1637
BD10,15638
BD11,5819
BD12,7946
BD13,13251
BD14,3672
BD15,7402
BD16,12952
BD17,9503
BD18,11000
BD19,11512
BD2,12686
BD20,19584
BD21,8814
BD22,14002
BD23,16042
BD24,2854
BD3,8441
BD4,11373
BD5,7814
BD6,12468
BD7,9738
BD8,8596
BD9,9294
BH1,7740
BH10,10890
BH11,10482
BH12,18421
BH13,5154
BH14,13621
BH15,17142
BH16,9215
BH17,12769
BH18,7787
BH19,6107
BH2,3408
BH20,11948
BH21,26884
BH22,17561
BH23,31947
BH24,16218
BH25,15289
BH3,2900
BH31,8708
BH4,4637
BH5,4693
BH6,12123
BH7,5719
BH8,12916
BH9,14215
BL0,9524
BL1,27097
BL2,20704
BL3,25422
BL4,13981
BL5,14253
BL6,16380
BL7,8837
BL8,31295
BL9,29160
BN1,26675
BN10,9497
BN11,13655
BN12,12473
BN13,16219
BN14,16390
BN15,14201
BN16,17251
BN17,15842
BN18,8241
BN2,29517
BN20,11107
BN21,10986
BN22,14922
BN23,14542
BN24,6235
BN25,12568
BN26,7170
BN27,17609
BN3,30401
BN41,9146
BN42,4965
BN43,11561
BN44,6264
BN45,419
BN5,5281
BN6,10996
BN7,9257
BN8,10382
BN9,6072
BR1,23987
BR2,22624
BR3,21680
BR4,10368
BR5,21055
BR6,24661
BR7,9737
BR8,12045
BS1,2754
BS10,13765
BS11,8566
BS12,78
BS13,12846
BS14,15117
BS15,25291
BS16,134525
BS17,60
BS18,77
BS19,45
BS2,4677
BS20,19787
BS21,13887
BS22,21295
BS23,15551
BS24,13586
BS25,4308
BS26,3401
BS27,4535
BS28,2358
BS29,1725
BS3,15203
BS30,17575
BS31,12724
BS32,13862
BS34,17622
BS35,14972
BS36,10148
BS37,23211
BS39,10557
BS4,21593
BS40,9148
BS41,3599
BS48,14349
BS49,7330
BS5,20732
BS6,11877
BS7,16183
BS8,9661
BS9,16882
BS99,c
BT1,726
BT10,6203
BT11,10475
BT12,10916
BT13,7280
BT14,11726
BT15,9877
BT16,9776
BT17,14362
BT18,7310
BT19,22182
BT2,475
BT20,13410
BT21,4682
BT22,13034
BT23,32579
BT24,11218
BT25,9874
BT26,6117
BT27,13029
BT28,23470
BT29,8703
BT3,589
BT30,19548
BT31,5029
BT32,14792
BT33,5904
BT34,34028
BT35,25038
BT36,28388
BT37,12428
BT38,24528
BT39,15424
BT4,12087
BT40,14493
BT41,22577
BT42,20906
BT43,11850
BT44,14301
BT45,20504
BT46,5946
BT47,32744
BT48,25867
BT49,12061
BT5,20361
BT51,15172
BT52,8073
BT53,14439
BT54,4225
BT55,3933
BT56,3435
BT57,2300
BT6,18156
BT60,18471
BT61,9047
BT62,17378
BT63,12926
BT64,1077
BT65,3366
BT66,18375
BT67,14143
BT68,566
BT69,1569
BT7,7762
BT70,12185
BT71,22677
BT74,9365
BT75,2077
BT76,1161
BT77,866
BT78,16506
BT79,15018
BT8,16481
BT80,13292
BT81,4561
BT82,14261
BT9,10260
BT92,10167
BT93,6568
BT94,9322
CA1,10058
CA10,9019
CA11,11882
CA12,3982
CA13,9166
CA14,17895
CA15,7967
CA16,3881
CA17,2807
CA18,168
CA19,669
CA2,17137
CA20,1916
CA21,488
CA22,4473
CA23,826
CA24,584
CA25,2730
CA26,2053
CA27,946
CA28,13729
CA3,7793
CA4,6023
CA5,4564
CA6,5626
CA7,12967
CA8,5980
CA9,1204
CB1,16739
CB10,8955
CB11,11231
CB2,7159
CB21,9425
CB22,14539
CB23,20220
CB24,19718
CB25,10890
CB3,5338
CB4,15512
CB5,4742
CB6,22269
CB7,15794
CB8,19394
CB9,17259
CF1,c
CF10,4446
CF11,13552
CF14,37690
CF15,10847
CF2,33
CF23,23099
CF24,13317
CF3,20210
CF31,26146
CF32,15954
CF33,7070
CF34,9544
CF35,10862
CF36,8951
CF37,17150
CF38,13181
CF39,13876
CF4,68
CF40,9234
CF41,4862
CF42,6062
CF43,5074
CF44,19533
CF45,8520
CF46,7660
CF47,9249
CF48,12936
CF5,30283
CF61,5333
CF62,22296
CF63,9635
CF64,19797
CF7,15
CF71,6127
CF72,15500
CF8,22
CF81,7357
CF82,10402
CF83,26747
CF99,13
CH1,13629
CH2,17424
CH25,7
CH27,7
CH3,21071
CH34,9
CH4,19677
CH41,6021
CH42,11224
CH43,17801
CH44,10456
CH45,15303
CH46,11781
CH47,6024
CH48,8493
CH49,14732
CH5,22913
CH6,8882
CH60,8537
CH61,9959
CH62,14649
CH63,16234
CH64,11837
CH65,12964
CH66,19626
CH7,30116
CH8,11894
CM0,10200
CM1,33876
CM11,11374
CM12,11634
CM13,14917
CM14,10064
CM15,13406
CM16,13031
CM17,13491
CM18,11665
CM19,10594
CM2,31769
CM20,10735
CM21,6687
CM22,10541
CM23,22928
CM24,5241
CM3,35076
CM4,6664
CM5,7123
CM6,19339
CM7,27169
CM77,9737
CM8,17779
CM9,20877
CO1,6645
CO10,28770
CO11,8175
CO12,11707
CO13,7372
CO14,3392
CO15,21126
CO16,14605
CO2,17999
CO3,16698
CO4,23389
CO5,17937
CO6,18268
CO7,20689
CO8,1578
CO9,16072
CR0,56288
CR2,22637
CR3,16198
CR4,19704
CR5,16421
CR6,6043
CR7,14099
CR8,16068
CR9,147
CT1,9822
CT10,13056
CT11,12747
CT12,9326
CT13,5152
CT14,18371
CT15,7848
CT16,9349
CT17,9019
CT18,8861
CT19,12277
CT2,11105
CT20,9790
CT21,9868
CT3,11566
CT4,11131
CT5,18278
CT6,21578
CT7,6670
CT8,3807
CT9,19117
CV1,6861
CV10,27963
CV11,20711
CV12,16477
CV13,7129
CV2,27242
CV21,18865
CV22,20806
CV23,15552
CV3,33297
CV31,14008
CV32,16250
CV33,4805
CV34,19190
CV35,20469
CV36,6571
CV37,26361
CV4,13444
CV47,11857
CV5,23575
CV6,38619
CV7,17425
CV8,18967
CV9,12389
CW1,21041
CW10,9250
CW11,15491
CW12,18395
CW2,22459
CW3,5881
CW4,6655
CW5,17895
CW6,8819
CW7,17454
CW8,23313
CW9,19717
DA1,28758
DA10,4162
DA11,17586
DA12,23154
DA13,9472
DA14,10445
DA15,13902
DA16,16521
DA17,7310
DA18,1480
DA2,12925
DA3,10751
DA4,5568
DA5,11057
DA6,4811
DA7,16884
DA8,14417
DA9,7134
DD1,2406
DD10,10787
DD11,13300
DD2,17580
DD3,14388
DD4,16759
DD5,17938
DD6,5055
DD7,6746
DD8,15383
DD9,5830
DE1,5053
DE11,24986
DE12,13021
DE13,24357
DE14,14743
DE15,12114
DE2,6
DE21,36690
DE22,21417
DE23,24418
DE24,25139
DE3,9830
DE4,19813
DE45,5011
DE5,12659
DE55,29184
DE56,23286
DE6,16033
DE65,14006
DE7,25516
DE72,12220
DE73,11937
DE74,7266
DE75,9412
DG1,14546
DG10,2065
DG11,7254
DG12,6245
DG13,1372
DG14,773
DG16,1975
DG2,10897
DG3,2602
DG4,1953
DG5,2856
DG6,2720
DG7,6806
DG8,6649
DG9,7592
DH1,18747
DH2,15090
DH3,12593
DH4,16790
DH5,9347
DH6,17511
DH7,20502
DH8,19453
DH9,16553
DL1,21504
DL10,10444
DL11,3211
DL12,6627
DL13,7624
DL14,17790
DL15,11020
DL16,10945
DL17,8393
DL2,11128
DL3,20299
DL4,4211
DL5,14257
DL6,8652
DL7,8810
DL8,11402
DL9,5801
DN1,2803
DN10,8008
DN11,14491
DN12,10240
DN14,25606
DN15,17325
DN16,15313
DN17,19199
DN18,6648
DN19,4046
DN2,10559
DN20,11382
DN21,20025
DN22,20215
DN3,15832
DN31,3220
DN32,10064
DN33,9089
DN34,8571
DN35,14355
DN36,12119
DN37,11552
DN38,1813
DN39,1729
DN4,25618
DN40,6414
DN41,4031
DN5,19116
DN6,14153
DN7,10782
DN8,16438
DN9,13127
DT1,10719
DT10,7774
DT11,17832
DT2,16984
DT3,14295
DT4,17790
DT5,6025
DT6,12817
DT7,3210
DT8,3843
DT9,12757
DY1,15145
DY10,19899
DY11,17126
DY12,7731
DY13,13792
DY14,5683
DY2,14677
DY3,18121
DY4,18645
DY5,19847
DY6,16457
DY7,5234
DY8,27174
DY9,16748
E1,10121
E10,10927
E11,15790
E12,9488
E13,10282
E14,15734
E15,10141
E16,12231
E17,27007
E18,7451
E1W,3272
E2,6718
E20,989
E3,10585
E4,27251
E5,8621
E6,18918
E7,12185
E8,6499
E9,6927
EC1A,243
EC1M,255
EC1N,472
EC1R,835
EC1V,2082
EC1Y,494
EC2A,312
EC2M,58
EC2N,31
EC2P,42
EC2R,51
EC2V,79
EC2Y,701
EC3A,44
EC3M,36
EC3N,86
EC3R,71
EC3V,76
EC4A,92
EC4M,66
EC4N,57
EC4P,
EC4R,39
EC4V,171
EC4Y,108
EH1,875
EH10,14284
EH11,10513
EH12,17999
EH13,6342
EH14,17038
EH15,9084
EH16,11396
EH17,7859
EH18,1235
EH19,7523
EH2,347
EH20,3290
EH21,11518
EH22,15563
EH23,4741
EH24,1131
EH25,1853
EH26,8335
EH27,1583
EH28,2533
EH29,2910
EH3,6399
EH30,5228
EH31,1566
EH32,10103
EH33,7006
EH34,1650
EH35,1221
EH36,261
EH37,935
EH38,241
EH39,5511
EH4,22565
EH40,1306
EH41,7124
EH42,6107
EH43,392
EH44,1692
EH45,5703
EH46,2229
EH47,13257
EH48,19674
EH49,8660
EH5,7864
EH51,7789
EH52,10512
EH53,6194
EH54,25460
EH55,4410
EH6,12525
EH7,10021
EH8,5489
EH9,6490
EN1,19129
EN10,9690
EN11,12113
EN2,13759
EN3,20352
EN4,12721
EN5,17302
EN6,16835
EN7,12856
EN8,17986
EN9,14010
EX1,9964
EX10,10136
EX11,5792
EX12,5395
EX13,7898
EX14,12775
EX15,13759
EX16,18042
EX17,11813
EX18,2070
EX19,2489
EX2,31829
EX20,12505
EX21,2949
EX22,6982
EX23,8904
EX24,2408
EX3,2835
EX31,14959
EX32,11397
EX33,5484
EX34,8332
EX35,908
EX36,5430
EX37,2454
EX38,4679
EX39,20785
EX4,19945
EX5,14985
EX6,9300
EX7,7277
EX8,18891
EX9,4258
FK1,13657
FK10,18628
FK11,1536
FK12,2482
FK13,3063
FK14,2778
FK15,6014
FK16,1371
FK17,1943
FK18,128
FK19,346
FK2,25902
FK20,189
FK21,515
FK3,8004
FK4,7115
FK5,11005
FK6,7202
FK7,28315
FK8,8401
FK9,6183
FY1,10036
FY2,10958
FY3,13568
FY4,20217
FY5,23819
FY6,16834
FY7,10433
FY8,24464
G1,1072
G11,6708
G12,9564
G13,12438
G14,6396
G15,5255
G2,630
G20,8401
G21,7798
G22,5070
G23,2784
G3,4968
G31,6313
G32,13806
G33,17014
G34,2033
G4,2865
G40,3595
G41,12142
G42,8348
G43,7002
G44,11823
G45,3968
G46,11987
G5,3613
G51,9386
G52,49985
G53,13440
G60,2752
G61,15829
G62,7131
G63,6052
G64,13390
G65,6335
G66,19603
G67,13464
G68,10605
G69,17007
G71,15124
G72,23595
G73,13108
G74,18176
G75,18511
G76,11675
G77,15104
G78,11033
