Postcode District,Cars
AB1,52
AB10,8319
AB11,6518
AB12,15481
AB13,1883
AB14,2633
AB15,20451
AB16,10757
AB2,37
AB21,13617
AB22,8833
AB23,6976
AB24,9556
AB25,5031
AB3,6
AB30,4461
AB31,9592
AB32,8371
AB33,3469
AB34,3272
AB35,1337
AB36,343
AB37,734
AB38,2603
AB39,10012
AB41,12746
AB42,18019
AB43,11713
AB44,1934
AB45,5723
AB51,21366
AB52,3115
AB53,6941
AB54,6061
AB55,4799
AB56,7369
AB9,c
AL1,17719
AL10,13780
AL2,14293
AL3,16118
AL4,16334
AL5,17545
AL6,8451
AL7,17558
AL8,7018
AL9,7518
B1,1830
B10,6625
B11,11767
B12,5205
B13,15554
B14,17558
B15,5766
B16,6553
B17,10554
B18,4363
B19,5089
B2,72
B20,12098
B21,7748
B23,16745
B24,12140
B25,6162
B26,245089
B27,9584
B28,14790
B29,11883
B3,695
B30,12454
B31,23768
B32,15515
B33,13202
B34,8171
B35,3421
B36,15940
B37,18675
B38,8730
B4,343
B40,c
B42,11128
B43,15320
B44,14795
B45,15709
B46,7928
B47,6290
B48,3686
B49,6853
B5,2999
B50,4138
B6,6303
B60,17423
B61,14859
B62,13932
B63,19081
B64,7973
B65,10930
B66,6997
B67,10869
B68,14179
B69,12940
B7,2462
B70,10725
B71,13121
B72,5271
B73,14159
B74,20017
B75,14952
B76,12800
B77,28899
B78,14838
B79,12426
B8,11229
B80,4348
B9,6583
B90,27766
B91,19434
B92,26253
B93,20623
B94,5557
B95,4626
B96,3663
B97,18273
B98,26012
BA1,17587
BA10,2100
BA11,18896
BA12,17187
BA13,12314
BA14,28700
BA15,7873
BA16,6967
BA2,37481
BA20,6566
BA21,18047
BA22,11812
BA3,21625
BA4,11266
BA5,11019
BA6,7928
BA7,2297
BA8,2783
BA9,5068
BB1,27266
BB10,16266
BB11,9386
BB12,16915
BB18,8668
BB2,25239
BB3,15566
BB4,21557
BB5,26943
BB6,7562
BB7,19278
BB8,11206
BB9,18176
BD1,1873
BD10,15921
BD11,5783
BD12,7984
BD13,13168
BD14,3693
BD15,7376
BD16,12990
BD17,9542
BD18,10981
BD19,11474
BD2,12737
BD20,19586
BD21,8793
BD22,13972
BD23,16183
BD24,2817
BD3,8242
BD4,11402
BD5,7638
BD6,12421
BD7,9609
BD8,8581
BD9,9213
BH1,7666
BH10,10914
BH11,10472
BH12,18751
BH13,5184
BH14,13645
BH15,17130
BH16,9273
BH17,12679
BH18,7861
BH19,6132
BH2,3391
BH20,12009
BH21,26988
BH22,17670
BH23,32051
BH24,16241
BH25,15348
BH3,2955
BH31,8691
BH4,4676
BH5,4656
BH6,12232
BH7,5815
BH8,12918
BH9,14254
BL0,9622
BL1,27110
BL2,20758
BL3,25377
BL4,14069
BL5,14350
BL6,16417
BL7,8912
BL8,33482
BL9,30636
BN1,26614
BN10,9513
BN11,13770
BN12,12439
BN13,16246
BN14,16438
BN15,14253
BN16,17277
BN17,15780
BN18,8267
BN2,29263
BN20,11127
BN21,11347
BN22,14848
BN23,14718
BN24,6174
BN25,12576
BN26,7166
BN27,17465
BN3,30327
BN41,9209
BN42,4998
BN43,11668
BN44,6287
BN45,438
BN5,5273
BN6,11011
BN7,9206
BN8,10504
BN9,6039
BR1,24165
BR2,22645
BR3,21618
BR4,10578
BR5,21106
BR6,24840
BR7,9862
BR8,12034
BS1,2736
BS10,13963
BS11,8544
BS12,77
BS13,12857
BS14,15205
BS15,25344
BS16,141804
BS17,59
BS18,73
BS19,48
BS2,4733
BS20,20088
BS21,13978
BS22,21476
BS23,15616
BS24,13577
BS25,4387
BS26,3437
BS27,4560
BS28,2362
BS29,1704
BS3,15080
BS30,17740
BS31,12717
BS32,13954
BS34,17674
BS35,14929
BS36,10215
BS37,23273
BS39,10566
BS4,21652
BS40,9129
BS41,3624
BS48,14462
BS49,7345
BS5,20574
BS6,12058
BS7,16334
BS8,9815
BS9,17034
BS99,c
BT1,724
BT10,6225
BT11,10497
BT12,11333
BT13,7261
BT14,11686
BT15,9870
BT16,9838
BT17,14348
BT18,7318
BT19,22126
BT2,502
BT20,13506
BT21,4681
BT22,12938
BT23,32470
BT24,11245
BT25,9748
BT26,6148
BT27,12917
BT28,23416
BT29,8793
BT3,637
BT30,19562
BT31,5057
BT32,14804
BT33,5887
BT34,33969
BT35,24936
BT36,28837
BT37,12467
BT38,24541
BT39,15520
BT4,12133
BT40,14390
BT41,22653
BT42,20779
BT43,11848
BT44,14231
BT45,20326
BT46,5912
BT47,32690
BT48,25676
BT49,11997
BT5,20396
BT51,15217
BT52,8060
BT53,14311
BT54,4192
BT55,3917
BT56,3448
BT57,2303
BT6,18127
BT60,18463
BT61,8991
BT62,17313
BT63,12836
BT64,1053
BT65,3377
BT66,18380
BT67,14051
BT68,558
BT69,1589
BT7,8240
BT70,12224
BT71,22707
BT74,9383
BT75,2050
BT76,1164
BT77,869
BT78,16520
BT79,14967
BT8,16494
BT80,13291
BT81,4600
BT82,14217
BT9,10717
BT92,10115
BT93,6519
BT94,9303
CA1,10149
CA10,9094
CA11,11844
CA12,4018
CA13,9182
CA14,17992
CA15,8004
CA16,3881
CA17,2818
CA18,168
CA19,657
CA2,17077
CA20,1933
CA21,495
CA22,4491
CA23,822
CA24,583
CA25,2803
CA26,2056
CA27,937
CA28,13876
CA3,7884
CA4,6016
CA5,4535
CA6,5677
CA7,13006
CA8,6012
CA9,1212
CB1,16870
CB10,8875
CB11,11305
CB2,7037
CB21,9464
CB22,14644
CB23,20295
CB24,19779
CB25,10961
CB3,5413
CB4,15729
CB5,4811
CB6,22322
CB7,15748
CB8,19442
CB9,17180
CF1,c
CF10,4426
CF11,13526
CF14,37912
CF15,14850
CF2,35
CF23,23277
CF24,13415
CF3,20055
CF31,26153
CF32,15965
CF33,7121
CF34,9521
CF35,10902
CF36,9009
CF37,17168
CF38,13225
CF39,13876
CF4,68
CF40,9191
CF41,4885
CF42,6042
CF43,5013
CF44,19617
CF45,8530
CF46,7704
CF47,9226
CF48,12925
CF5,30298
CF61,5313
CF62,22336
CF63,9644
CF64,19921
CF7,15
CF71,6145
CF72,15583
CF8,24
CF81,7367
CF82,10498
CF83,26835
CF99,14
CH1,13762
CH2,17459
CH25,10
CH27,6
CH3,21119
CH34,11
CH4,19233
CH41,6076
CH42,11325
CH43,17878
CH44,10437
CH45,15336
CH46,11893
CH47,6021
CH48,8480
CH49,14761
CH5,22942
CH6,8815
CH60,8579
CH61,10025
CH62,14638
CH63,16322
CH64,11902
CH65,12958
CH66,19649
CH7,30136
CH8,11871
CM0,10043
CM1,33717
CM11,11391
CM12,11659
CM13,15845
CM14,10115
CM15,13488
CM16,13119
CM17,13505
CM18,11710
CM19,10633
CM2,32009
CM20,10730
CM21,6780
CM22,10621
CM23,22805
CM24,6102
CM3,35250
CM4,6728
CM5,7118
CM6,18713
CM7,27143
CM77,9851
CM8,17772
CM9,20913
CO1,6668
CO10,28575
CO11,8144
CO12,11627
CO13,7366
CO14,3323
CO15,21132
CO16,14524
CO2,18123
CO3,16775
CO4,23267
CO5,17944
CO6,18232
CO7,20689
CO8,1572
CO9,16051
CR0,56203
CR2,22755
CR3,16246
CR4,19483
CR5,16421
CR6,6029
CR7,14088
CR8,16000
CR9,154
CT1,9701
CT10,13046
CT11,12735
CT12,9346
CT13,5155
CT14,18378
CT15,7865
CT16,9333
CT17,9020
CT18,8848
CT19,12300
CT2,11235
CT20,9655
CT21,9875
CT3,11442
CT4,11104
CT5,18332
CT6,21607
CT7,6773
CT8,3819
CT9,19097
CV1,6859
CV10,28031
CV11,20803
CV12,16607
CV13,7162
CV2,27288
CV21,18830
CV22,20787
CV23,15401
CV3,33348
CV31,14142
CV32,16631
CV33,4743
CV34,19128
CV35,20689
CV36,6528
CV37,26492
CV4,13649
CV47,11774
CV5,23860
CV6,38411
CV7,17582
CV8,19244
CV9,12429
CW1,21000
CW10,9278
CW11,15371
CW12,18346
CW2,22571
CW3,5782
CW4,6605
CW5,17873
CW6,8785
CW7,17452
CW8,23320
CW9,19815
DA1,28562
DA10,4064
DA11,17469
DA12,23209
DA13,9496
DA14,10554
DA15,13970
DA16,16590
DA17,7336
DA18,1473
DA2,12943
DA3,10858
DA4,5619
DA5,11173
DA6,4830
DA7,16945
DA8,14354
DA9,7098
DD1,2456
DD10,10837
DD11,13332
DD2,17654
DD3,14585
DD4,16852
DD5,18067
DD6,5134
DD7,6783
DD8,15467
DD9,5860
DE1,5557
DE11,25039
DE12,13009
DE13,24418
DE14,14646
DE15,12143
DE2,c
DE21,38149
DE22,21430
DE23,24226
DE24,25176
DE3,9794
DE4,19871
DE45,5053
DE5,12693
DE55,29210
DE56,23464
DE6,15930
DE65,14041
DE7,25467
DE72,12294
DE73,11949
DE74,7235
DE75,9422
DG1,14640
DG10,2034
DG11,7276
DG12,6256
DG13,1401
DG14,775
DG16,1997
DG2,10924
DG3,2574
DG4,1906
DG5,2891
DG6,2713
DG7,6883
DG8,6665
DG9,7565
DH1,18784
DH2,15119
DH3,12606
DH4,16820
DH5,9355
DH6,17489
DH7,20511
DH8,19531
DH9,16472
DL1,21726
DL10,10451
DL11,3197
DL12,6571
DL13,7574
DL14,17844
DL15,10997
DL16,10944
DL17,8327
DL2,11102
DL3,20248
DL4,4180
DL5,14278
DL6,8643
DL7,8821
DL8,11408
DL9,5904
DN1,2742
DN10,7998
DN11,14362
DN12,10199
DN14,25547
DN15,17357
DN16,15301
DN17,19208
DN18,6685
DN19,4071
DN2,10712
DN20,11398
DN21,20035
DN22,20147
DN3,15837
DN31,3181
DN32,10108
DN33,9057
DN34,8644
DN35,14444
DN36,12063
DN37,11666
DN38,1826
DN39,1709
DN4,25549
DN40,6442
DN41,4025
DN5,19200
DN6,14059
DN7,10733
DN8,18667
DN9,13114
DT1,10758
DT10,7789
DT11,17955
DT2,17036
DT3,14284
DT4,17740
DT5,6015
DT6,12719
DT7,3220
DT8,3823
DT9,12714
DY1,15177
DY10,19926
DY11,17071
DY12,7768
DY13,13715
DY14,5710
DY2,14588
DY3,18129
DY4,18556
DY5,19909
DY6,16575
DY7,5266
DY8,27344
DY9,16813
E1,9975
E10,10853
E11,15816
E12,9494
E13,10106
E14,15514
E15,9912
E16,11705
E17,26442
E18,7548
E1W,3337
E2,6552
E20,896
E3,10430
E4,27419
E5,8499
E6,18902
E7,12164
E8,6278
E9,6772
EC1A,223
EC1M,239
EC1N,474
EC1R,782
EC1V,2018
EC1Y,494
EC2A,302
EC2M,68
EC2N,30
EC2P,42
EC2R,46
EC2V,72
EC2Y,677
EC3A,49
EC3M,41
EC3N,85
EC3R,70
EC3V,73
EC4A,94
EC4M,66
EC4N,48
EC4P,c
EC4R,43
EC4V,172
EC4Y,167
EH1,857
EH10,14345
EH11,10468
EH12,18211
EH13,6373
EH14,17156
EH15,9253
EH16,11316
EH17,7793
EH18,1252
EH19,7581
EH2,341
EH20,3335
EH21,11491
EH22,15672
EH23,4702
EH24,1121
EH25,1872
EH26,8370
EH27,1622
EH28,2594
EH29,2967
EH3,6283
EH30,5286
EH31,1558
EH32,10160
EH33,7042
EH34,1649
EH35,1231
EH36,270
EH37,967
EH38,235
EH39,5505
EH4,22651
EH40,1331
EH41,7110
EH42,6125
EH43,406
EH44,1734
EH45,5791
EH46,2231
EH47,13273
EH48,19974
EH49,8733
EH5,7929
EH51,7776
EH52,10587
EH53,6157
EH54,25691
EH55,4371
EH6,12430
EH7,10011
EH8,5481
EH9,6528
EN1,19246
EN10,9755
EN11,12234
EN2,13792
EN3,20304
EN4,12758
EN5,17372
EN6,17010
EN7,12903
EN8,17976
EN9,14078
EX1,9809
EX10,10134
EX11,5779
EX12,5397
EX13,7823
EX14,12747
EX15,13746
EX16,17989
EX17,11769
EX18,2063
EX19,2406
EX2,36118
EX20,12502
EX21,2901
EX22,7003
EX23,8822
EX24,2413
EX3,2867
EX31,14845
EX32,11424
EX33,5532
EX34,8329
EX35,908
EX36,5356
EX37,2480
EX38,4620
EX39,20802
EX4,20011
EX5,15012
EX6,9364
EX7,7229
EX8,18895
EX9,4304
FK1,13696
FK10,18707
FK11,1569
FK12,2528
FK13,3092
FK14,2756
FK15,6100
FK16,1394
FK17,1951
FK18,124
FK19,345
FK2,26082
FK20,192
FK21,511
FK3,7941
FK4,7113
FK5,11116
FK6,7219
FK7,28910
FK8,8477
FK9,6242
FY1,9956
FY2,11012
FY3,13535
FY4,20300
FY5,23731
FY6,16771
FY7,10419
FY8,24519
G1,1049
G11,6772
G12,9523
G13,12535
G14,6420
G15,5239
G2,631
G20,8494
G21,7804
G22,5030
G23,2790
G3,4933
G31,6284
G32,13876
G33,17178
G34,2051
G4,2846
G40,3501
G41,12105
G42,8307
G43,6957
G44,11927
G45,3971
G46,12257
G5,3611
G51,9430
G52,53426
G53,13487
G60,2802
G61,16013
G62,7177
G63,6052
G64,13554
G65,6442
G66,19775
G67,13564
G68,10697
G69,17094
G71,15134
G72,23656
G73,13250
G74,18416
G75,18542
G76,11778
G77,15220
G78,11122
G81,15245
G82,12205
G83,11610
G84,10816
GL1,14812
GL10,8783
GL11,11676
GL12,9931
GL13,3915
GL14,85768
GL15,13065
GL16,8390
GL17,7374
GL18,5318
GL19,6212
GL2,35438
GL20,17755
GL3,18839
GL4,25418
GL5,17538
GL50,9570
GL51,26836
GL52,25298
GL53,11569
GL54,16057
GL55,3864
GL56,6380
GL6,16354
GL7,28279
GL8,5733
GL9,1776
GU1,15677
GU10,16410
GU11,70445
GU12,18291
GU13,50
GU14,31250
GU15,20957
GU16,14568
GU17,6733
GU18,4794
GU19,3666
GU2,13201
GU20,3122
GU21,26651
GU22,19592
GU23,4795
GU24,11163
GU25,4056
GU26,4978
GU27,10793
GU28,4581
GU29,6233
GU3,7537
GU30,6581
GU31,7240
GU32,6916
GU33,5345
GU34,20702
GU35,14644
GU4,10204
GU46,9540
GU47,11845
GU5,7369
GU51,14851
GU52,11442
GU6,9771
GU7,12659
GU8,12009
GU9,17886
HA0,15595
HA1,13656
HA2,22435
HA3,28251
HA4,25068
HA5,22537
HA6,11891
HA7,17390
HA8,26248
HA9,15496
HD1,6988
HD2,12572
HD3,14722
HD4,12641
HD5,13554
HD6,13209
HD7,11709
HD8,18932
HD9,19554
HG1,16401
HG2,16406
HG3,20081
HG4,14344
HG5,10682
HP1,13588
HP10,12612
HP11,8192
HP12,11428
HP13,21868
HP14,11591
HP15,11297
HP16,8084
HP17,6847
HP18,12644
HP19,13087
HP2,20591
HP20,7438
HP21,17298
HP22,18845
HP23,11010
HP27,8334
HP3,18491
HP4,14412
HP5,14794
HP6,8519
HP7,6543
HP8,4817
HP9,11109
HR1,18750
HR2,20933
HR3,4896
HR4,16346
HR5,2832
HR6,12105
HR7,4579
HR8,8650
HR9,13158
HS1,2080
HS2,7287
HS3,608
HS4,132
HS5,117
HS6,828
HS7,652
HS8,907
HS9,593
HU1,979
HU10,11045
HU11,7644
HU12,14617
HU13,8242
HU14,5460
HU15,14499
HU16,8651
HU17,24085
HU18,4630
HU19,3072
HU2,1268
HU20,568
HU3,8623
HU4,10513
HU5,18968
HU6,11203
HU7,19169
HU8,14651
HU9,13936
HX1,7613
HX2,16710
HX3,21800
HX4,6484
HX5,4891
HX6,9157
HX7,6297
IG1,18612
IG10,15876
IG11,16604
IG2,10117
IG3,12211
IG4,3824
IG5,7628
IG6,12179
IG7,10913
IG8,16637
IG9,6436
IP1,18344
IP10,2409
IP11,16803
IP12,15054
IP13,12559
IP14,24602
IP15,1426
IP16,3673
IP17,7548
IP18,2235
IP19,6559
IP2,13935
IP20,5050
IP21,7569
IP22,13935
IP23,4914
IP24,15641
IP25,11399
IP26,5510
IP27,13092
IP28,18557
IP29,6285
IP3,16871
IP30,10054
IP31,13422
IP32,9096
IP33,12021
IP4,18117
IP5,12189
IP6,11481
IP7,10101
IP8,7156
IP9,7353
IV1,2136
IV10,1575
IV11,445
IV12,6606
IV13,381
IV14,1198
IV15,2676
IV16,1010
IV17,3059
IV18,2893
IV19,2396
IV2,25088
IV20,1621
IV21,626
IV22,825
IV23,431
IV24,774
IV25,1437
IV26,882
IV27,1819
IV28,281
IV3,8062
IV30,17678
IV31,3558
IV32,2791
IV36,8216
IV4,2581
IV40,1347
IV41,175
IV42,266
IV43,153
IV44,158
IV45,159
IV46,65
IV47,325
IV48,50
IV49,563
IV5,774
IV51,2626
IV52,188
IV53,80
IV54,740
IV55,702
IV56,189
IV6,2584
IV63,1477
IV7,3520
IV8,542
IV9,698
KA1,13757
KA10,8644
KA11,10281
KA12,7404
KA13,7942
KA14,260
KA15,3652
KA16,1472
KA17,2070
KA18,9626
KA19,3749
KA2,3687
KA20,3651
KA21,5346
KA22,4798
KA23,2971
KA24,2943
KA25,2999
KA26,4912
KA27,2298
KA28,538
KA29,904
KA3,19083
KA30,5514
KA4,2672
KA5,4900
KA6,9396
KA7,14901
KA8,7627
KA9,8437
KT1,7118
KT10,12949
KT11,9966
KT12,21852
KT13,13851
KT14,8032
KT15,16827
KT16,11710
KT17,13398
KT18,11491
KT19,18296
KT2,12117
KT20,13676
KT21,8320
KT22,17245
KT23,7444
KT24,6717
KT3,16477
KT4,14204
KT5,8758
KT6,12748
KT7,7380
KT8,11017
KT9,10805
KW1,5106
KW10,795
KW11,61
KW12,993
KW13,56
KW14,6023
KW15,4168
KW16,1908
KW17,5216
KW2,34
