POSTCODE,POSTAL_COMMERCIAL_PROPERTIES,ALL_COMMERCIAL,RESIDENTIAL_PROPERTIES
NE63 8NB,0,0,28
NE46 4LL,0,0,3
NE46 4LN,2,2,5
NE46 4LX,0,0,6
NE47 0LD,0,0,2
NE47 9QT,0,0,8
NE63 8PR,2,2,1
NE26 4RG,1,1,24
NE26 4RQ,2,3,22
NE66 4ED,1,2,9
NE26 4QL,2,2,3
NE25 0LJ,2,2,8
NE25 0DZ,0,0,36
NE49 9LY,0,0,11
NE65 9UL,0,0,2
NE48 2JP,2,3,11
NE46 4BQ,0,0,2
NE66 3RU,0,0,2
NE61 6ND,0,0,7
NE63 9AF,3,4,10
NE26 4RH,0,0,16
NE24 4PZ,7,7,33
NE41 8DH,1,1,25
NE65 0AN,4,5,24
NE65 0DD,15,15,4
TD15 2AA,13,13,23
TD15 2TN,2,3,19
NE66 4AN,1,2,12
NE46 4TL,0,1,24
NE46 4DZ,0,0,12
NE46 4HD,0,0,2
NE24 1HS,0,0,3
NE24 2EE,0,0,13
NE25 0NN,0,0,34
NE46 4BD,0,0,4
NE47 7HF,5,7,8
NE44 6BQ,0,0,2
NE64 6UY,14,17,12
NE66 2DZ,1,1,1
NE61 1TR,0,0,4
NE23 7ED,1,1,6
NE23 7EA,0,0,12
NE22 7AT,1,1,7
NE23 2UA,2,2,18
NE65 8DY,0,0,2
NE65 7HL,0,0,3
TD15 2QR,2,3,12
TD15 2QD,3,3,5
NE61 6SW,1,2,13
NE19 1HA,3,3,12
NE47 7EE,0,0,5
NE49 9AF,12,15,6
NE49 0JB,1,1,23
NE13 6BZ,1,1,9
NE22 7DY,0,0,10
NE22 6JN,0,0,31
DH8 9TE,1,1,10
NE63 9YA,4,4,7
NE46 1TU,1,1,3
NE63 0BN,3,3,18
NE61 6UZ,0,0,24
NE61 6UT,0,0,30
NE26 4QP,0,0,0
NE15 0DR,1,1,19
NE61 6RL,0,0,22
NE66 1NB,3,3,15
TD15 2RX,8,8,10
NE22 6BE,0,0,17
NE43 7AD,0,0,11
NE22 6HF,0,0,21
NE47 6EA,1,1,4
NE22 5HG,0,0,35
NE65 9NZ,3,4,6
NE22 5NX,0,0,30
NE22 7BZ,0,0,35
