Postcode District 2,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4
AB10,48,40,44,36,35,35,32,27,28,22,19,18,14,12,13,13,13,20,20,11,9,8,7,c,c,c,0,0,0,0,0,0,0,0,0,0
AB11,44,40,39,39,37,37,37,35,34,34,30,25,21,20,17,15,11,9,9,11,10,10,10,c,c,c,c,c,c,c,c,c,c,c,c,c
AB12,133,107,112,97,91,82,79,80,70,80,75,64,62,60,59,58,53,47,41,32,31,21,19,14,9,c,c,c,c,c,c,c,c,c,c,c
AB13,23,23,27,26,22,21,21,20,16,13,13,12,11,10,10,9,8,7,7,7,6,c,c,c,c,0,0,0,0,0,0,0,0,0,0,0
AB14,27,22,22,21,20,16,15,13,13,13,12,11,10,9,8,8,8,8,8,8,7,c,c,c,c,c,0,0,0,0,0,0,0,0,0,0
AB15,190,173,169,149,140,131,126,112,104,106,95,89,82,68,63,57,54,44,38,34,25,23,15,8,5,c,5,5,c,c,c,c,c,c,c,c
AB16,32,22,22,21,16,15,14,13,13,11,11,14,13,13,9,9,7,c,c,c,c,5,c,c,0,0,0,0,0,0,0,0,0,0,0,0
AB21,114,100,105,92,81,68,69,65,62,53,51,52,49,50,44,39,37,31,26,21,19,13,13,11,8,7,5,5,c,c,c,c,c,c,c,c
AB22,35,33,31,29,26,28,27,24,21,18,20,18,18,17,14,13,9,7,8,c,c,c,c,c,c,0,0,0,0,0,0,0,0,0,0,0
AB23,55,49,49,42,40,37,32,31,30,31,27,24,22,18,17,13,13,12,9,14,13,13,12,12,11,12,8,10,8,6,c,c,0,0,0,0
AB24,28,26,25,24,21,21,20,19,16,14,16,12,12,10,8,8,10,9,9,8,9,9,7,c,c,c,c,c,c,c,c,c,c,c,c,c
AB25,45,46,46,42,41,39,35,36,29,28,28,28,27,23,27,25,24,23,18,19,17,16,13,17,13,6,6,6,5,5,5,c,c,c,c,c
AB30,38,33,34,32,26,22,21,21,21,21,20,18,17,15,13,13,12,11,9,9,6,c,c,c,c,0,0,0,0,0,0,0,0,0,0,0
AB31,106,93,91,83,74,69,69,61,57,53,45,40,36,32,27,22,19,17,16,14,9,8,c,c,c,c,c,c,c,c,c,c,c,c,c,c
AB32,45,39,40,34,28,25,24,23,23,23,24,25,23,18,17,18,16,12,12,11,10,10,10,6,6,c,c,c,c,c,0,0,0,0,0,0
AB33,34,29,28,26,20,22,22,17,18,18,15,13,13,11,7,6,5,6,5,c,c,c,c,c,c,c,c,c,c,c,0,0,0,0,0,0
AB34,33,30,28,22,20,16,14,15,12,10,11,10,8,7,6,5,c,c,c,c,c,c,c,c,c,0,0,0,0,0,0,0,0,0,0,0
AB35,10,8,8,6,6,5,5,5,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,0,0,0,0,0,0,0,0,0,0,0
AB38,21,16,16,16,13,14,11,10,10,8,9,8,7,6,5,6,5,c,c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB39,87,75,70,57,47,43,41,38,35,32,29,26,25,22,16,11,11,10,11,10,6,c,c,c,c,c,c,c,0,0,0,0,0,0,0,0
AB41,86,76,74,68,68,59,58,56,49,44,43,40,34,28,25,22,23,24,21,17,14,10,7,c,c,c,c,0,0,0,0,0,0,0,0,0
AB42,103,91,75,68,60,57,52,54,48,41,37,29,24,23,23,21,17,14,15,16,16,15,11,7,5,c,c,c,c,c,0,0,0,0,0,0
AB43,47,45,42,39,38,33,32,31,29,30,26,24,22,20,22,20,19,17,13,12,10,12,11,8,8,8,c,c,c,c,c,c,c,c,c,c
AB44,7,6,5,5,c,5,5,c,c,c,c,c,c,c,c,c,c,c,c,c,c,0,0,c,c,c,c,0,0,0,0,0,0,0,0,0
AB45,17,13,14,11,7,7,7,7,9,9,8,8,9,7,7,7,5,5,5,c,c,c,c,c,c,c,0,0,0,0,0,0,0,0,0,0
AB51,172,153,146,133,124,113,109,97,88,84,78,72,65,58,50,37,36,34,28,21,15,9,8,8,8,7,5,7,6,8,10,10,10,10,10,7
AB52,42,34,34,30,27,26,23,19,17,17,15,13,11,9,8,8,8,8,8,7,7,8,8,7,c,c,c,c,c,c,c,c,c,c,c,c
